0041;0300;00C0;
0041;0301;00C1;
0041;0302;00C2;
0041;0303;00C3;
0041;0308;00C4;
0041;030A;00C5;
0043;0327;00C7;
0045;0300;00C8;
0045;0301;00C9;
0045;0302;00CA;
0045;0308;00CB;
0049;0300;00CC;
0049;0301;00CD;
0049;0302;00CE;
0049;0308;00CF;
004E;0303;00D1;
004F;0300;00D2;
004F;0301;00D3;
004F;0302;00D4;
004F;0303;00D5;
004F;0308;00D6;
0055;0300;00D9;
0055;0301;00DA;
0055;0302;00DB;
0055;0308;00DC;
0059;0301;00DD;
0061;0300;00E0;
0061;0301;00E1;
0061;0302;00E2;
0061;0303;00E3;
0061;0308;00E4;
0061;030A;00E5;
0063;0327;00E7;
0065;0300;00E8;
0065;0301;00E9;
0065;0302;00EA;
0065;0308;00EB;
0069;0300;00EC;
0069;0301;00ED;
0069;0302;00EE;
0069;0308;00EF;
006E;0303;00F1;
006F;0300;00F2;
006F;0301;00F3;
006F;0302;00F4;
006F;0303;00F5;
006F;0308;00F6;
0075;0300;00F9;
0075;0301;00FA;
0075;0302;00FB;
0075;0308;00FC;
0079;0301;00FD;
0079;0308;00FF;
0041;0304;0100;
0061;0304;0101;
0041;0306;0102;
0061;0306;0103;
0041;0328;0104;
0061;0328;0105;
0043;0301;0106;
0063;0301;0107;
0043;0302;0108;
0063;0302;0109;
0043;0307;010A;
0063;0307;010B;
0043;030C;010C;
0063;030C;010D;
0044;030C;010E;
0064;030C;010F;
0045;0304;0112;
0065;0304;0113;
0045;0306;0114;
0065;0306;0115;
0045;0307;0116;
0065;0307;0117;
0045;0328;0118;
0065;0328;0119;
0045;030C;011A;
0065;030C;011B;
0047;0302;011C;
0067;0302;011D;
0047;0306;011E;
0067;0306;011F;
0047;0307;0120;
0067;0307;0121;
0047;0327;0122;
0067;0327;0123;
0048;0302;0124;
0068;0302;0125;
0049;0303;0128;
0069;0303;0129;
0049;0304;012A;
0069;0304;012B;
0049;0306;012C;
0069;0306;012D;
0049;0328;012E;
0069;0328;012F;
0049;0307;0130;
004A;0302;0134;
006A;0302;0135;
004B;0327;0136;
006B;0327;0137;
004C;0301;0139;
006C;0301;013A;
004C;0327;013B;
006C;0327;013C;
004C;030C;013D;
