# IdentifierType.txt
# Date: 2025-08-04, 21:58:43 GMT
# © 2025 Unicode®, Inc.
# Unicode and the Unicode Logo are registered trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
#
# Unicode Security Mechanisms for UTS #39
# Version: 17.0.0
#
# For documentation and usage, see https://www.unicode.org/reports/tr39
#
# Format
#
# Field 0: code point
# Field 1: set of Identifier_Type values
#          See the "Identifier_Status and Identifier_Type" table of UTS #39:
#          https://www.unicode.org/reports/tr39/#Identifier_Status_and_Type

#
# For the purpose of regular expressions, the property Identifier_Type is defined as
# mapping each code point to a set of enumerated values.
# The short name of Identifier_Type is ID_Type.
# The possible values are:
#   Not_Character, Deprecated, Default_Ignorable, Not_NFKC, Not_XID,
#   Exclusion, Obsolete, Technical, Uncommon_Use, Limited_Use, Inclusion, Recommended
# The short name of each value is the same as its long name.

# All code points not explicitly listed for Identifier_Type
# have the value Not_Character.

# @missing: 0000..10FFFF; Not_Character

# As usual, sets are unordered, with no duplicate values.


#	Identifier_Type:	Recommended

0030..0039    ; Recommended                    # 1.1   [10] DIGIT ZERO..DIGIT NINE
0041..005A    ; Recommended                    # 1.1   [26] LATIN CAPITAL LETTER A..LATIN CAPITAL LETTER Z
005F          ; Recommended                    # 1.1        LOW LINE
0061..007A    ; Recommended                    # 1.1   [26] LATIN SMALL LETTER A..LATIN SMALL LETTER Z
00C0..00D6    ; Recommended                    # 1.1   [23] LATIN CAPITAL LETTER A WITH GRAVE..LATIN CAPITAL LETTER O WITH DIAERESIS
00D8..00F6    ; Recommended                    # 1.1   [31] LATIN CAPITAL LETTER O WITH STROKE..LATIN SMALL LETTER O WITH DIAERESIS
00F8..0113    ; Recommended                    # 1.1   [28] LATIN SMALL LETTER O WITH STROKE..LATIN SMALL LETTER E WITH MACRON
0116..012B    ; Recommended                    # 1.1   [22] LATIN CAPITAL LETTER E WITH DOT ABOVE..LATIN SMALL LETTER I WITH MACRON
012E..0131    ; Recommended                    # 1.1    [4] LATIN CAPITAL LETTER I WITH OGONEK..LATIN SMALL LETTER DOTLESS I
0134..0137    ; Recommended                    # 1.1    [4] LATIN CAPITAL LETTER J WITH CIRCUMFLEX..LATIN SMALL LETTER K WITH CEDILLA
0139..013E    ; Recommended                    # 1.1    [6] LATIN CAPITAL LETTER L WITH ACUTE..LATIN SMALL LETTER L WITH CARON
0141..0148    ; Recommended                    # 1.1    [8] LATIN CAPITAL LETTER L WITH STROKE..LATIN SMALL LETTER N WITH CARON
014A..014D    ; Recommended                    # 1.1    [4] LATIN CAPITAL LETTER ENG..LATIN SMALL LETTER O WITH MACRON
0150..0155    ; Recommended                    # 1.1    [6] LATIN CAPITAL LETTER O WITH DOUBLE ACUTE..LATIN SMALL LETTER R WITH ACUTE
0158..0161    ; Recommended                    # 1.1   [10] LATIN CAPITAL LETTER R WITH CARON..LATIN SMALL LETTER S WITH CARON
0164..017E    ; Recommended                    # 1.1   [27] LATIN CAPITAL LETTER T WITH CARON..LATIN SMALL LETTER Z WITH CARON
0181          ; Recommended                    # 1.1        LATIN CAPITAL LETTER B WITH HOOK
0186          ; Recommended                    # 1.1        LATIN CAPITAL LETTER OPEN O
0189..018A    ; Recommended                    # 1.1    [2] LATIN CAPITAL LETTER AFRICAN D..LATIN CAPITAL LETTER D WITH HOOK
018E..0192    ; Recommended                    # 1.1    [5] LATIN CAPITAL LETTER REVERSED E..LATIN SMALL LETTER F WITH HOOK
0194          ; Recommended                    # 1.1        LATIN CAPITAL LETTER GAMMA
0196..0199    ; Recommended                    # 1.1    [4] LATIN CAPITAL LETTER IOTA..LATIN SMALL LETTER K WITH HOOK
019D          ; Recommended                    # 1.1        LATIN CAPITAL LETTER N WITH LEFT HOOK
01A0..01A1    ; Recommended                    # 1.1    [2] LATIN CAPITAL LETTER O WITH HORN..LATIN SMALL LETTER O WITH HORN
01AF..01B0    ; Recommended                    # 1.1    [2] LATIN CAPITAL LETTER U WITH HORN..LATIN SMALL LETTER U WITH HORN
01B2..01B4    ; Recommended                    # 1.1    [3] LATIN CAPITAL LETTER V WITH HOOK..LATIN SMALL LETTER Y WITH HOOK
01B7          ; Recommended                    # 1.1        LATIN CAPITAL LETTER EZH
01CD..01D4    ; Recommended                    # 1.1    [8] LATIN CAPITAL LETTER A WITH CARON..LATIN SMALL LETTER U WITH CARON
01DD          ; Recommended                    # 1.1        LATIN SMALL LETTER TURNED E
01E6..01E9    ; Recommended                    # 1.1    [4] LATIN CAPITAL LETTER G WITH CARON..LATIN SMALL LETTER K WITH CARON
01EE..01EF    ; Recommended                    # 1.1    [2] LATIN CAPITAL LETTER EZH WITH CARON..LATIN SMALL LETTER EZH WITH CARON
01F8..01F9    ; Recommended                    # 3.0    [2] LATIN CAPITAL LETTER N WITH GRAVE..LATIN SMALL LETTER N WITH GRAVE
0218..021B    ; Recommended                    # 3.0    [4] LATIN CAPITAL LETTER S WITH COMMA BELOW..LATIN SMALL LETTER T WITH COMMA BELOW
0244          ; Recommended                    # 5.0        LATIN CAPITAL LETTER U BAR
024C..024D    ; Recommended                    # 5.0    [2] LATIN CAPITAL LETTER R WITH STROKE..LATIN SMALL LETTER R WITH STROKE
0253..0254    ; Recommended                    # 1.1    [2] LATIN SMALL LETTER B WITH HOOK..LATIN SMALL LETTER OPEN O
0256..0257    ; Recommended                    # 1.1    [2] LATIN SMALL LETTER D WITH TAIL..LATIN SMALL LETTER D WITH HOOK
0259          ; Recommended                    # 1.1        LATIN SMALL LETTER SCHWA
025B          ; Recommended                    # 1.1        LATIN SMALL LETTER OPEN E
0263          ; Recommended                    # 1.1        LATIN SMALL LETTER GAMMA
0268..0269    ; Recommended                    # 1.1    [2] LATIN SMALL LETTER I WITH STROKE..LATIN SMALL LETTER IOTA
0272          ; Recommended                    # 1.1        LATIN SMALL LETTER N WITH LEFT HOOK
0289          ; Recommended                    # 1.1        LATIN SMALL LETTER U BAR
028B          ; Recommended                    # 1.1        LATIN SMALL LETTER V WITH HOOK
0292          ; Recommended                    # 1.1        LATIN SMALL LETTER EZH
0300..0304    ; Recommended                    # 1.1    [5] COMBINING GRAVE ACCENT..COMBINING MACRON
0306..030C    ; Recommended                    # 1.1    [7] COMBINING BREVE..COMBINING CARON
031B          ; Recommended                    # 1.1        COMBINING HORN
0323          ; Recommended                    # 1.1        COMBINING DOT BELOW
0326..0328    ; Recommended                    # 1.1    [3] COMBINING COMMA BELOW..COMBINING OGONEK
0331          ; Recommended                    # 1.1        COMBINING MACRON BELOW
0386          ; Recommended                    # 1.1        GREEK CAPITAL LETTER ALPHA WITH TONOS
0388..038A    ; Recommended                    # 1.1    [3] GREEK CAPITAL LETTER EPSILON WITH TONOS..GREEK CAPITAL LETTER IOTA WITH TONOS
038C          ; Recommended                    # 1.1        GREEK CAPITAL LETTER OMICRON WITH TONOS
038E..03A1    ; Recommended                    # 1.1   [20] GREEK CAPITAL LETTER UPSILON WITH TONOS..GREEK CAPITAL LETTER RHO
03A3..03CE    ; Recommended                    # 1.1   [44] GREEK CAPITAL LETTER SIGMA..GREEK SMALL LETTER OMEGA WITH TONOS
0401..040C    ; Recommended                    # 1.1   [12] CYRILLIC CAPITAL LETTER IO..CYRILLIC CAPITAL LETTER KJE
040E..044F    ; Recommended                    # 1.1   [66] CYRILLIC CAPITAL LETTER SHORT U..CYRILLIC SMALL LETTER YA
0451..045C    ; Recommended                    # 1.1   [12] CYRILLIC SMALL LETTER IO..CYRILLIC SMALL LETTER KJE
045E..045F    ; Recommended                    # 1.1    [2] CYRILLIC SMALL LETTER SHORT U..CYRILLIC SMALL LETTER DZHE
0490..049B    ; Recommended                    # 1.1   [12] CYRILLIC CAPITAL LETTER GHE WITH UPTURN..CYRILLIC SMALL LETTER KA WITH DESCENDER
049E..04A5    ; Recommended                    # 1.1    [8] CYRILLIC CAPITAL LETTER KA WITH STROKE..CYRILLIC SMALL LIGATURE EN GHE
04A8..04B7    ; Recommended                    # 1.1   [16] CYRILLIC CAPITAL LETTER ABKHASIAN HA..CYRILLIC SMALL LETTER CHE WITH DESCENDER
04BA..04C0    ; Recommended                    # 1.1    [7] CYRILLIC CAPITAL LETTER SHHA..CYRILLIC LETTER PALOCHKA
04CF          ; Recommended                    # 5.0        CYRILLIC SMALL LETTER PALOCHKA
04D0..04D9    ; Recommended                    # 1.1   [10] CYRILLIC CAPITAL LETTER A WITH BREVE..CYRILLIC SMALL LETTER SCHWA
04DC..04E9    ; Recommended                    # 1.1   [14] CYRILLIC CAPITAL LETTER ZHE WITH DIAERESIS..CYRILLIC SMALL LETTER BARRED O
04EE..04F5    ; Recommended                    # 1.1    [8] CYRILLIC CAPITAL LETTER U WITH MACRON..CYRILLIC SMALL LETTER CHE WITH DIAERESIS
04F8..04F9    ; Recommended                    # 1.1    [2] CYRILLIC CAPITAL LETTER YERU WITH DIAERESIS..CYRILLIC SMALL LETTER YERU WITH DIAERESIS
0524..0525    ; Recommended                    # 5.2    [2] CYRILLIC CAPITAL LETTER PE WITH DESCENDER..CYRILLIC SMALL LETTER PE WITH DESCENDER
0531..0556    ; Recommended                    # 1.1   [38] ARMENIAN CAPITAL LETTER AYB..ARMENIAN CAPITAL LETTER FEH
0561..0586    ; Recommended                    # 1.1   [38] ARMENIAN SMALL LETTER AYB..ARMENIAN SMALL LETTER FEH
05D0..05EA    ; Recommended                    # 1.1   [27] HEBREW LETTER ALEF..HEBREW LETTER TAV
0620          ; Recommended                    # 6.0        ARABIC LETTER KASHMIRI YEH
0621..063A    ; Recommended                    # 1.1   [26] ARABIC LETTER HAMZA..ARABIC LETTER GHAIN
063D          ; Recommended                    # 5.1        ARABIC LETTER FARSI YEH WITH INVERTED V
0641..0652    ; Recommended                    # 1.1   [18] ARABIC LETTER FEH..ARABIC SUKUN
0654..0655    ; Recommended                    # 3.0    [2] ARABIC HAMZA ABOVE..ARABIC HAMZA BELOW
0660..0669    ; Recommended                    # 1.1   [10] ARABIC-INDIC DIGIT ZERO..ARABIC-INDIC DIGIT NINE
0670          ; Recommended                    # 1.1        ARABIC LETTER SUPERSCRIPT ALEF
0672          ; Recommended                    # 1.1        ARABIC LETTER ALEF WITH WAVY HAMZA ABOVE
0674          ; Recommended                    # 1.1        ARABIC LETTER HIGH HAMZA
0679..068F    ; Recommended                    # 1.1   [23] ARABIC LETTER TTEH..ARABIC LETTER DAL WITH THREE DOTS ABOVE DOWNWARDS
0691..069A    ; Recommended                    # 1.1   [10] ARABIC LETTER RREH..ARABIC LETTER SEEN WITH DOT BELOW AND DOT ABOVE
069F..06A0    ; Recommended                    # 1.1    [2] ARABIC LETTER TAH WITH THREE DOTS ABOVE..ARABIC LETTER AIN WITH THREE DOTS ABOVE
06A2          ; Recommended                    # 1.1        ARABIC LETTER FEH WITH DOT MOVED BELOW
06A4..06AB    ; Recommended                    # 1.1    [8] ARABIC LETTER VEH..ARABIC LETTER KAF WITH RING
06AD..06B1    ; Recommended                    # 1.1    [5] ARABIC LETTER NG..ARABIC LETTER NGOEH
06B3          ; Recommended                    # 1.1        ARABIC LETTER GUEH
06B5..06B7    ; Recommended                    # 1.1    [3] ARABIC LETTER LAM WITH SMALL V..ARABIC LETTER LAM WITH THREE DOTS ABOVE
06BA..06BE    ; Recommended                    # 1.1    [5] ARABIC LETTER NOON GHUNNA..ARABIC LETTER HEH DOACHASHMEE
06C0..06CE    ; Recommended                    # 1.1   [15] ARABIC LETTER HEH WITH YEH ABOVE..ARABIC LETTER YEH WITH SMALL V
06CF          ; Recommended                    # 3.0        ARABIC LETTER WAW WITH DOT ABOVE
06D0..06D3    ; Recommended                    # 1.1    [4] ARABIC LETTER E..ARABIC LETTER YEH BARREE WITH HAMZA ABOVE
06D5          ; Recommended                    # 1.1        ARABIC LETTER AE
06EE..06EF    ; Recommended                    # 4.0    [2] ARABIC LETTER DAL WITH INVERTED V..ARABIC LETTER REH WITH INVERTED V
06F0..06F9    ; Recommended                    # 1.1   [10] EXTENDED ARABIC-INDIC DIGIT ZERO..EXTENDED ARABIC-INDIC DIGIT NINE
06FF          ; Recommended                    # 4.0        ARABIC LETTER HEH WITH INVERTED V
0751..0752    ; Recommended                    # 4.1    [2] ARABIC LETTER BEH WITH DOT BELOW AND THREE DOTS ABOVE..ARABIC LETTER BEH WITH THREE DOTS POINTING UPWARDS BELOW
0756          ; Recommended                    # 4.1        ARABIC LETTER BEH WITH SMALL V
0760          ; Recommended                    # 4.1        ARABIC LETTER FEH WITH TWO DOTS BELOW
0762..0763    ; Recommended                    # 4.1    [2] ARABIC LETTER KEHEH WITH DOT ABOVE..ARABIC LETTER KEHEH WITH THREE DOTS ABOVE
0766..0768    ; Recommended                    # 4.1    [3] ARABIC LETTER MEEM WITH DOT BELOW..ARABIC LETTER NOON WITH SMALL TAH
076A          ; Recommended                    # 4.1        ARABIC LETTER LAM WITH BAR
076E..0771    ; Recommended                    # 5.1    [4] ARABIC LETTER HAH WITH SMALL ARABIC LETTER TAH BELOW..ARABIC LETTER REH WITH SMALL ARABIC LETTER TAH AND TWO DOTS
0780..07B0    ; Recommended                    # 3.0   [49] THAANA LETTER HAA..THAANA SUKUN
07B1          ; Recommended                    # 3.2        THAANA LETTER NAA
088F          ; Recommended                    # 17.0       ARABIC LETTER NOON WITH RING ABOVE
08A0          ; Recommended                    # 6.1        ARABIC LETTER BEH WITH SMALL V BELOW
08A2..08A9    ; Recommended                    # 6.1    [8] ARABIC LETTER JEEM WITH TWO DOTS ABOVE..ARABIC LETTER YEH WITH TWO DOTS BELOW AND DOT ABOVE
08BB..08BD    ; Recommended                    # 9.0    [3] ARABIC LETTER AFRICAN FEH..ARABIC LETTER AFRICAN NOON
08BE..08C2    ; Recommended                    # 13.0   [5] ARABIC LETTER PEH WITH SMALL V..ARABIC LETTER KEHEH WITH SMALL V
08C7          ; Recommended                    # 13.0       ARABIC LETTER LAM WITH SMALL ARABIC LETTER TAH ABOVE
